,m00,m10,m01,m20,m11,m02,m30,m21,m12,m03,mu20,mu11,mu02,mu30,mu21,mu12,mu03,nu20,nu11,nu02,nu30,nu21,nu12,nu03
27,1999.5,64115.166666666664,95965.33333333333,2227008.25,3062790.375,5216227.083333333,82394802.55000001,105985290.23333333,165816716.6,308864983.7,171116.97883498645,-14395.591936178505,610403.0264302185,10510.301040306687,23981.15865140315,-62909.937496982515,-78267.40905088186,0.04280064235488392,-0.003600698108055023,0.15267708560804083,5.87911065275653e-05,0.00013414257569999605,-0.0003518971362327079,-0.0004378016924063914
28,1739.0,64301.0,68921.33333333333,2586270.1666666665,2557781.1666666665,3010389.5,111054810.5,103201882.03333333,112064005.5,141402467.6,208686.15229058824,9356.40837646136,278848.27605264867,-7417.529734060168,8988.947123718448,10660.174793682992,-10556.068295896053,0.06900720979437934,0.003093926591052858,0.09220804195753035,-5.881801190265991e-05,7.12787164825895e-05,8.453087623230489e-05,-8.370535379484718e-05
29,1722.5,56037.33333333333,74359.66666666666,1968224.9166666665,2406395.7916666665,3608450.9166666665,73476509.7,84125185.35,116313296.98333333,190195637.8,145187.04896790884,-12714.471065150108,398372.5266650547,-1496.5976009070873,-15063.487092243508,18911.396263917908,25011.4253680408,0.04893385343152169,-0.0042852862427068044,0.13426750505330234,-1.2153656795912444e-05,-0.00012232844163175333,0.00015357676611525473,0.00020311423706379297
30,6096.5,305898.0,407469.3333333333,17298948.916666664,20098649.291666664,31921252.25,1063695398.1,1121674072.15,1555236255.95,2759906167.7000003,1950210.065850621,-346533.04705227166,4687387.30993421,-4198.90773332119,246425.07591457665,-122399.25376999378,-179871.49965572357,0.05247110828818732,-0.009323597163049412,0.12611585358675512,-1.4468879049167423e-06,8.491481224498658e-05,-4.217715918005196e-05,-6.198133272274851e-05
31,1746.0,57189.5,78034.5,2019263.8333333333,2536715.5,3905328.833333333,75712685.75,88991041.0,126159657.5,211880915.25,146045.67167812143,-19271.92139175255,417709.5949312709,5213.311690419912,5966.254649059847,-35104.13472348638,1246.5122689008713,0.047907136350316494,-0.00632173863996533,0.13702063395149341,4.092635740968401e-05,4.683722836164139e-05,-0.00027557998630528514,9.785566193239468e-06
32,1833.5,58026.33333333333,82485.66666666666,1990421.75,2599082.5416666665,4193580.75,72739271.2,88806860.68333334,131721770.48333333,232117952.8,154013.04527618736,-11411.48027073266,482707.99000848504,-1661.739826694131,-16118.471589337103,30716.573226867244,24533.325441479683,0.04581373290913232,-0.003394533938885837,0.1435894919660555,-1.1544117617493439e-05,-0.00011197512923049395,0.00021338823830366937,0.00017043317485392124
33,1816.5,60208.83333333333,78372.83333333333,2166481.75,2585440.375,3802760.75,83139551.45,92655508.98333333,124930723.81666666,200465791.45000002,170828.78475854057,-12267.778056854848,421367.4085772401,5974.645384520292,-4031.838944312185,-55165.06483690068,36036.517251968384,0.05177144025699539,-0.0037178777549360695,0.12769977641786698,4.248382664520724e-05,-2.8669140299999086e-05,-0.0003922614482651303,0.00025624435481915505
34,1774.5,55205.666666666664,79830.83333333333,1857605.5833333333,2483835.958333333,4055607.75,66500421.800000004,83587680.9,126254139.93333334,224217684.45000002,140127.06425127597,255.0201973952353,464194.985449736,-9564.467516444623,2243.4008880862966,59016.50307142921,-1358.3174493312836,0.044501025176181666,8.098835357293833e-05,0.1474172947569469,-7.210589757281015e-05,1.6912853159151443e-05,0.00044492157229425916,-1.0240266769106063e-05
35,1862.5,59925.166666666664,83913.0,2088496.75,2676775.7916666665,4275144.916666666,77529046.55,92585877.3,135453167.6,237237646.4,160429.31374347536,-23090.254239373375,494531.9937136462,9034.439860343933,-23332.42639445979,-17235.969087589532,64190.416517436504,0.04624780901573092,-0.006656350035223168,0.1425613602886057,6.034767290356838e-05,-0.00015585444785348778,-0.00011513172269146871,0.0004287750341381542
36,12318.5,741557.8333333333,1122868.6666666665,51960379.75,66368484.70833333,123108282.91666666,4009076052.75,4587627030.266666,7188033466.833333,15007695781.300001,7319553.336229846,-1226762.7301715165,20755395.58608441,-127247.37192678452,-1020232.3851178885,719696.2620608807,2167492.1388320923,0.048235737612276425,-0.008084346468544536,0.1367777198335221,-7.5553441572313775e-06,-6.0576550015931275e-05,4.273214343217707e-05,0.00012869538143697368
37,1268.5,41559.5,45384.666666666664,1472067.75,1489598.7083333333,1774033.9166666665,55452934.85,52839582.43333333,58343183.03333333,74229775.3,110465.82627118658,2673.95127118635,150251.52136162575,-14316.762108586729,-3586.9006908936426,29682.57297879178,6544.405564337969,0.06865102126443438,0.0016617762413474737,0.09337657387985414,-0.0002498150678625659,-6.258830262845892e-05,0.0005179351257492129,0.00011419419473308764
38,1880.0,59175.83333333333,86281.0,2017425.5,2702448.4166666665,4488325.0,73247817.85000001,91740608.75,140028137.28333333,254508353.5,154776.96239657234,-13376.091755318921,528531.9356382978,2633.482098415494,-5352.3206232804805,-20887.716853873804,7450.732651114464,0.043791580578477915,-0.003784543842043606,0.14953936612672528,1.7184454373965092e-05,-3.49258913136095e-05,-0.00013630015463847827,4.861881361286841e-05
39,1856.0,61354.5,84992.66666666666,2181276.1666666665,2789441.083333333,4404462.333333333,82222377.25,98572474.55,143760520.41666666,248591904.4,153057.05554058915,-20193.920438218396,512353.827346744,-4232.015129387379,19402.158625504933,10027.995598439127,-28588.632884800434,0.04443215838328079,-0.005862254883456495,0.14873529563564347,-2.8516897979336773e-05,0.00013073898868185913,6.757237832921526e-05,-0.0001926408820430144
40,1781.5,57369.0,79175.16666666666,1992149.0833333333,2541761.458333333,3974806.25,73483217.60000001,88010055.6,127257750.86666666,217260449.55,144715.93093366968,-7887.790333520621,456025.99925936386,10291.837879657745,-18968.486711431295,-40383.02481444366,73912.19224250317,0.0455978839912629,-0.0024853279542535697,0.14368715646627067,7.68295641964217e-05,-0.00014160158608652183,-0.00030146318215519416,0.0005517616566830824
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,1545.5,48606.33333333333,64982.666666666664,1643749.0833333333,2052339.7916666665,3056674.4166666665,58955952.0,69678474.35,96767329.41666667,155727080.3,115068.6303335852,8619.858383658808,324389.09339839686,21792.009531021118,22597.16743552778,-90657.22590243258,-73755.27424663305,0.04817468957992138,0.003608794166158106,0.13580889797919776,0.00023207307495985265,0.00024064756968284284,-0.0009654502560930961,-0.0007854536436650192
43,1839.5,58449.33333333333,83888.5,2005407.0833333333,2658712.2916666665,4333337.583333333,73136149.7,91045738.46666667,137049207.06666666,243833360.15,148204.27435746463,-6809.2627412341535,507689.07436350407,-3067.016208872199,23939.948169771582,-19700.34250704199,-89303.44822990894,0.043798692403654964,-0.0020123360516555965,0.15003695204573197,-2.1133264604775952e-05,0.00016495813026121717,-0.00013574514207054914,-0.0006153451018948358
44,1768.5,57381.83333333333,78565.66666666666,2004469.4166666665,2527500.375,3944571.583333333,74289541.15,87627052.93333334,126079498.13333333,215616101.8,142623.33428360545,-21689.32835814962,454289.43531084154,-3988.2724160403013,-14071.852328242734,18612.590661264956,14744.23787856102,0.04560163949875672,-0.006934832492358816,0.14525212975279672,-3.0322999198429535e-05,-0.00010698887196210305,0.00014151229224772471,0.00011210104695329375
45,7155.5,412130.6666666666,483329.0,27085830.416666664,28030945.791666664,37622000.08333333,1945827021.3000002,1851946481.1166666,2192897576.6833334,3213061300.6000004,3348609.2012224495,192960.6069369763,4974816.484563157,46791.84671354294,165711.55314737558,-59853.273767232895,-236139.35699272156,0.06540101585299782,0.0037686749796549132,0.09716214470589585,1.0803642894401685e-05,3.826069218086127e-05,-1.3819360449710348e-05,-5.4521577271379985e-05
46,18.0,281.66666666666663,798.0,4411.333333333333,12492.0,35673.0,69148.7,195721.66666666666,558596.9,1607403.0,3.771604938272503,4.7777777777810115,295.0000000000073,1.4652034750615712,3.0288065842615026,-43.11851851874235,-256.66666666720994,0.01164075598232254,0.014746227709200652,0.9104938271605162,0.0010659005278128924,0.0022033844389236345,-0.03136769222152309,-0.18671886883223388
47,11966.5,710305.3333333333,1070780.6666666665,49225798.25,63150405.45833333,114773138.91666666,3759959770.7000003,4355953631.183333,6743019216.15,13662498323.300001,7063623.298111178,-408798.85065888613,18958052.123777285,-538757.4558997154,-315040.48898017406,3495973.4112126827,-367977.4741230011,0.04932796963460749,-0.002854797947302227,0.1323912926872892,-3.439342533701778e-05,-2.011168739703545e-05,0.00022317742275686296,-2.349110094600644e-05
48,7484.0,359201.8333333333,572381.3333333333,19730304.833333332,27349461.833333332,52015601.0,1186007588.8500001,1497391471.1166666,2477738868.2833333,5238135418.6,2490064.7117368914,-122534.99979213998,8239493.203575052,6347.868183135986,166912.80149182677,-57196.38971757889,-376509.00837898254,0.04445729924421147,-0.002187724330203739,0.14710686563501962,1.3100668360650495e-06,3.4447300958465225e-05,-1.1804135049734839e-05,-7.770356143617424e-05
49,1818.0,58896.83333333333,82235.5,2060967.5,2651130.25,4189765.5,76686456.35000001,92353803.83333333,134525455.03333333,232111550.75,152916.35770382616,-13011.95989182219,469920.9124037409,10417.945070460439,-29015.95768575277,-31107.290034156293,78644.72183409333,0.04626645103294949,-0.003936905208948949,0.142179510482433,7.392602690762395e-05,-0.00020589803978805524,-0.0002207381920844265,0.0005580651254281215
50,1672.0,54478.33333333333,70128.5,1918993.3333333333,2255682.083333333,3303909.833333333,71916047.10000001,78558353.91666667,105181184.11666666,169028927.25,143940.2216241362,-29296.26545055816,362518.3786383574,10063.113633438945,-20653.587754398584,-11695.608400411904,43292.69282492995,0.0514884266128781,-0.010479479582998814,0.129675366091077,8.803222810732487e-05,-0.00018067781152626483,-0.00010231331018043526,0.0003787249502460568
51,12210.0,751095.0,1105027.5,53512262.33333333,66385038.5,120226126.16666666,4190848027.5,4646065381.416667,7108922943.916667,14543014363.75,7308847.179770671,-1590443.0816953331,20219101.125204727,-148681.93773174286,-1221577.8507846594,1119868.7130374908,2596577.517354965,0.049024994481441486,-0.010668093255386276,0.13562211614253114,-9.025453907642185e-06,-7.415355728512073e-05,6.797949775423584e-05,0.00015762029374939937
52,7108.0,376715.3333333333,499666.6666666666,22714462.666666664,26078264.333333332,41271806.0,1495083238.6000001,1554836211.8,2130358501.8666666,3763799894.4,2749009.322766211,-403459.76470955834,6147048.293503411,-143871.93538475037,857471.4680532217,-273372.50384277105,-1689131.0137696266,0.054410331815329366,-0.007985560285365652,0.12166671628374798,-3.377594727330305e-05,0.000201303409284624,-6.417801533754138e-05,-0.00039654710910930755
53,11218.0,674425.3333333333,965782.0,46958952.33333333,56962617.25,99434658.66666666,3594343253.6000004,3909206259.8333335,5788939343.533333,11367637341.0,6412550.992472418,-1100125.4204700738,16288387.359481767,130313.53734636307,-1313083.683632493,359368.6280001402,2486141.3172836304,0.05095654340125137,-0.008742010597780733,0.1294336557158219,9.776894855435165e-06,-9.851532981673504e-05,2.6961966974779716e-05,0.00018652507444587074
54,1895.0,61192.33333333333,86398.33333333333,2136388.5,2788165.0,4465329.833333333,79352362.3,97261981.86666666,143980481.43333334,251637653.10000002,160398.17874523648,-1764.0832600402646,526188.9347698628,6254.193838432431,-27996.50312103983,-50718.51260525361,69975.34341564775,0.044666405481787644,-0.000491247835935496,0.1465288976740242,4.0008134503387595e-05,-0.0001790938834687308,-0.00032444678347726716,0.0004476329041946784
55,1885.5,63397.666666666664,84432.83333333333,2308485.75,2820599.7916666665,4247436.916666666,89496145.0,102160385.73333333,141239321.33333334,231932188.45000002,176815.5623692507,-18352.541077374015,466528.2215224374,-14328.748278945684,20382.541232726537,68026.85098404437,-50698.012457966805,0.049735605912432874,-0.005162298715595112,0.13122749752203533,-9.282007423026863e-05,0.00013203588711256192,0.00044067054812236726,-0.00032841621529426554
56,1343.0,45206.83333333333,50400.5,1643218.3333333333,1698963.3333333333,2062479.0,63516151.35,61824457.333333336,69563689.86666666,90245093.25,121507.40256060264,2427.96221146686,171034.17479523434,23502.714166365564,-6180.473988704383,-43819.757591020316,6531.304330289364,0.06736754355232234,0.0013461389724202769,0.09482675110026083,0.0003555723542132576,-9.350433616992141e-05,-0.0006629487240240221,9.881204529678194e-05
57,1876.0,62928.83333333333,80651.5,2296238.5,2693261.4166666665,3908433.1666666665,89472584.35000001,97898137.33333333,130012614.7,205983099.75,185344.00922471005,-12124.93812189065,441128.02154406486,12789.89810743928,-6480.45038260147,-49938.84251787141,25599.323273450136,0.05266388394553752,-0.0034451954329093137,0.12534268050474426,8.39044508902802e-05,-4.2513132341344885e-05,-0.0003276094245911936,0.00016793700343650694
58,1710.5,54526.5,74311.66666666666,1876805.4166666665,2353002.125,3636355.583333333,68667928.15,80522925.26666667,114537431.96666667,193408356.8,138635.7573565233,-15869.604026599787,407928.92283770256,1295.1193797588348,-2015.1563762845472,-1678.9748776834458,-15437.567351222038,0.04738371442800274,-0.00542400315488668,0.13942425789153706,1.070291572431785e-05,-1.6653328800246556e-05,-1.3875112132473058e-05,-0.0001275766426870836
59,6726.0,386133.8333333333,434032.6666666666,25211461.5,25168251.583333332,32295557.0,1796902430.0500002,1656172664.55,1886454993.5166667,2636838316.4,3043852.6322190873,250812.18816698715,4287178.21115407,44380.259370565414,464664.4405324459,24932.593324124813,-520813.7100491524,0.06728370473833478,0.005544149225483454,0.09476714801058424,1.196183144910556e-05,0.00012524121753394878,6.72009319373376e-06,-0.00014037515562883755
60,1862.0,70484.33333333333,73920.33333333333,2920356.6666666665,2806391.333333333,3237375.0,129651749.10000001,116564867.03333333,123190326.2,152553060.1,252235.69704022026,8203.677706170361,302780.11272228276,7966.799756914377,7294.6594213638455,-8951.891406377777,-9266.883496642113,0.07275237840656774,0.0023661879417077956,0.08733091149759933,5.325185120362162e-05,4.8759116576317256e-05,-5.983642161329296e-05,-6.194189839605207e-05
61,5406.0,288815.0,310263.0,17496031.0,16626434.0,20436029.333333332,1155511404.5,1009444950.3333334,1097566681.8333333,1474783158.5,2066119.0086940452,50664.79078801349,2629309.176285606,23332.680366039276,-106764.2903958559,-41648.1472787559,107154.9906027317,0.07069736879598042,0.0017336210471125824,0.08996831244102126,1.0858617327957059e-05,-4.968621502169379e-05,-1.9382312131470496e-05,4.9868039997215796e-05
62,1933.0,61337.83333333333,89473.5,2111442.0,2833138.0,4696099.0,77479980.85000001,97309445.66666667,148480048.03333333,268838107.75,165073.76511754934,-6029.424081738107,554605.3620020691,3616.817939952016,-41015.87919816561,21905.028843656182,125547.1754090786,0.0441788441281506,-0.0016136603323970997,0.14842954495572425,2.2016435796351548e-05,-0.00024967346601065146,0.00013334114936401344,0.0007642356824971775
